Product ID,Product Title,Merchant ID,Cluster ID,Cluster Label,Category ID,Category Label
36001,zanussi zfc14500wa 104 litre chest freezer in white a,125,43449,Zanussi ZFC14500WA White,2621,Freezers
31772,siemens wm14t790gb iq500 ultra efficient 9kg 1400rpm isensoric freestanding washing machine white,6,42037,Siemens WM14T790GB,2620,Washing Machines
32098,lg fh495bdn8 12kg direct drive washing machine 1400rpm black,301,42089,LG FH495BDN8,2620,Washing Machines
10539,samsung qe65q9fn 65 qled 4k ultra hd tv,129,4449,Samsung QE65Q9F,2614,TVs
2907,ken xin da v7 2gb 16gb fingerprint identification 5.0 inch android,62,755,Kenxinda V7 Dual SIM,2612,Mobile Phones
31643,aeg prosense technology free standing washing machine in white,31,42019,AEG L6FBI741N,2620,Washing Machines
10883,lg oled65e8pla 65 inch oled tv,30,4476,LG OLED65E8PLA,2614,TVs
26666,bosch serie4 sms46mw00g activewater 14 place dishwasher in white,125,40494,Bosch SMS46MW00G White,2619,Dishwashers
27334,smeg integrated slimline dishwasher in stainless steel,31,40583,Smeg DI410T Integrated Integrated,2619,Dishwashers
25090,akai a24009 digital solo microwave with 5 power levels 700 w 20 litre metallic red,17,39858,Akai A24006R Red,2618,Microwaves
11854,sony kd 49xe7002 49 inch uhd 4k tv,149,4655,Sony Bravia KD-49XE7002,2614,TVs
35451,siemens gs36nai31 tall freezer a energy rating 60cm wide stainless steel,43,43349,Siemens GS36NAI31 Stainless Steel,2621,Freezers
2345,apple iphone 7 plus 256gb product red,10,470,Apple iPhone 7 Plus (PRODUCT) RED Special Edition 256GB,2612,Mobile Phones
10673,lg 55sk8100pla 55 4k hdr pro ultra hd smart led tv with dolby vision,128,4459,LG 55SK8100PLA,2614,TVs
21649,canon eos 77d geh use,41,38895,Canon EOS 77D,2617,Digital Cameras
21650,canon eos 77d body,251,38895,Canon EOS 77D,2617,Digital Cameras
44587,fridgemaster mul49102b fridge larder 50cm 3.6cf a rated black,131,46272,Fridgemaster MUL49102B Black,2623,Fridges
45508,137litre larder fridge class a black,123,46485,Lec L5511B Black,2623,Fridges
15243,intel xeon e3 1231v3 3.4 ghz 4 cores 8 threads 8 mb cache lga1150 socket oem,51,6220,Intel Xeon E3-1231 v3 3.4GHz Tray,2615,CPUs
29467,bosch smi88ts00g serie 8 60cm semi integrated,294,41263,Bosch SMI88TS00G Stainless Steel,2619,Dishwashers
42260,nordmende rff332wha fridge freezer,294,45167,Nordmende RFF332WHAPlus White,2622,Fridge Freezers
2050,huawei honor 7c lnd l29 3gb ram 32gb rom dual sim black,29,361,Huawei Honor 7C Dual SIM,2612,Mobile Phones
41740,siemens side by side iq500 nofrost k hl /gefrierkombination t ren edelstahl antifingerprint ka92dai30,298,44937,Siemens KA92DAI30 Stainless Steel,2622,Fridge Freezers
25101,hotpoint mwh 2621 mb/mwh 2621 mb,98,39861,Hotpoint MWH 2621 MB Black,2618,Microwaves
39032,hoover hvbf5192bhk fridge freezer black,293,44255,Hoover HVBF5192BHK,2622,Fridge Freezers
760,sim free sony xperia xz2 64gb mobile phone liquid silver,22,56,Sony Xperia XZ2,2612,Mobile Phones
16256,hewlett packard enterprise ml350 g6 intel xeon e5606 processor kit,66,6573,HP Intel Xeon E5606 2.13GHz Socket 1366 Upgrade Tray,2615,CPUs
40207,montpellier mab148k retro style 50 50 freestanding fridge freezer black,3,44482,Montpellier MAB148K Black,2622,Fridge Freezers
21654,canon eos 77d body only,258,38895,Canon EOS 77D,2617,Digital Cameras
37263,bosch kgn33nw3ag 60cm frost free fridge freezer white a rated,133,44040,Bosch KGN33NW3AG White,2622,Fridge Freezers
25103,hotpoint mwh 2621 mb solo microwave black,7,39861,Hotpoint MWH 2621 MB Black,2618,Microwaves
1457,nokia 11ne1r01a03 3 copper dual sim unlocked,17,182,Nokia 3 Dual SIM,2612,Mobile Phones
14880,intel xeon e5 2660v4 2 ghz 14 core 28 threads 35 mb cache lga2011 v3 socket oem,51,6097,Intel Xeon E5-2660 v4 2GHz Tray,2615,CPUs
27437,whirlpool supreme clean wfo3t3236p 14 place freestanding dishwasher white,6,40600,Whirlpool WFO 3T323 6P UK White,2619,Dishwashers
30599,samsung ww80j5556mw a 8kg ecobubble washing machine with 1400rpm spin,32,41898,Samsung WW80J5556MW,2620,Washing Machines
25406,bosch bfr634gs1 edelstahl einbaumikrowelle,119,39951,Bosch BFR634GS1 Stainless Steel,2618,Microwaves
40599,fisherpaykel e402brxfd4 fridge freezer,313,44577,Fisher & Paykel E402BRXFD4 Stainless Steel,2622,Fridge Freezers
26004,zanussi zht610w 60cm cooker hood in white,125,40189,Sharp R658WM White,2618,Microwaves
37705,bosch serie 4 integrated fridge freezer in white,31,44077,Bosch KIV85VS30G Integrated,2622,Fridge Freezers
3068,m horse pure 1 3gb 32gb dual back cameras dual front cameras fing,62,895,M-horse Pure 1 Dual SIM,2612,Mobile Phones
35496,neff g1524x7gb built in freezer,308,43358,Neff G1524X7GB Integrated,2621,Freezers
25270,sharp r344slm/r344slm,98,39908,Sharp R344SLM Silver,2618,Microwaves
3222,wiko jerry 2 12 7 cm 5 zoll smartphone 5mp,2,1021,Wiko Jerry 2 Dual SIM,2612,Mobile Phones
21363,praktica luxmedia z250 20mp 5x 64mb camera z250 s,105,38866,Praktica Luxmedia Z250,2617,Digital Cameras
37261,bosch no frost fridge freezer in white kgn33nw3ag,125,44040,Bosch KGN33NW3AG White,2622,Fridge Freezers
46083,bosch kil32ad40 freistehend 154l a wei,119,46673,Bosch KIL32AD40 Integrated,2623,Fridges
17574,hewlett packard enterprise amd opteron 2427 2.2ghz 6mb l3 box,14,7594,HP AMD Opteron 2427 Six-Core 2.20GHz Socket F 2400MHz bus Upgrade Tray,2615,CPUs
35106,siemens iq 500 free standing freezer frost free in white,31,43302,Siemens GS58NAW41 White,2621,Freezers
17578,hewlett packard enterprise amd opteron 2431 2.4ghz 6mb l3 box processor,64,7596,HP AMD Opteron 2431 Six-Core 2.4GHz Socket F 2400MHz bus Upgrade Tray,2615,CPUs
195,apple iphone 8 256gb silver,4,10,Apple iPhone 8 256GB,2612,Mobile Phones
14761,intel core i5 3210m processor 3m cache up to 3.10 ghz,66,6057,Intel Core i5-3210M 2.5GHz Tray,2615,CPUs
39515,hotpoint leco7ff2w 60cm no frost fridge freezer,294,44341,Hotpoint LECO7FF2WH White,2622,Fridge Freezers
23090,pentax k 70 digital camera with 18 50mm lens,88,39143,Pentax K-70 + 18-50mm + 50mm,2617,Digital Cameras
39458,bosch kge36vw4a serie 4 lofrost fridge freezer in white 1 86m 60cm a,128,44330,Bosch KGE36VW4A White,2622,Fridge Freezers
44815,arg108/18 a /re,302,46318,Whirlpool ARG 108/18 A+/RE Integrated,2623,Fridges
32097,lg fh495bdn8 smart washing machine black,7,42089,LG FH495BDN8,2620,Washing Machines
30911,hotpoint wmbf742p 7kg 1400rpm freestanding washing machine white,3,41930,Hotpoint WMBF742P,2620,Washing Machines
36150,liebherr sign 3556 20,119,43486,Liebherr SIGN 3556 Premium NoFrost Integrated,2621,Freezers
24822,russell hobbs rhm3003b 30l digital 900w combination microwave black,17,39795,Russell Hobbs RHM3003B Black,2618,Microwaves
30908,hotpoint wmbf742p washer,294,41930,Hotpoint WMBF742P,2620,Washing Machines
15157,intel xeon e7 4820v3 1.9 ghz processor,60,6191,Intel Xeon E7-4820V3 1.9GHz,2615,CPUs
25867,myappliances art28606 60cm built in 20 litre microwave in white,53,40122,MyAppliances ART28606 White,2618,Microwaves
16276,hp amd opteron six core 8425 he 2.1ghz fio kit 2.1ghz 6mb l3 processor,64,6580,HP AMD Opteron 8425 HE 2.1GHz Socket F 4800MHz bus Upgrade Tray,2615,CPUs
16752,hp intel xeon quad core l5410 2.33ghz fio kit 2.33ghz 12mb l2,14,6821,HP Intel Xeon DP Quad-core L5410 2.33GHz Socket 771 1333MHz bus Upgrade Tray,2615,CPUs
15605,intel core i7 i7 620um dual core 2 core 1.06 ghz processor,73,6340,Intel Core I7-620UM 1.06GHz Socket 479 Tray,2615,CPUs
35889,cda fw582 122cm integrated in column three quarter height white freezer,3,43423,CDA FW582 Integrated,2621,Freezers
31927,candy bwm1410ph7 1400rpm 10kg bianca washibg machine white,131,42061,Candy BWM 1410PH7/1-80,2620,Washing Machines
35078,bosch serie 4 no frost upright freezer in white gsn29vw3vg,125,43299,Bosch GSN29VW3VG White,2621,Freezers
38062,iq300 kg36dvi30g 319 litre no frost fridge freezer,124,44119,Siemens KG36DVI30G Stainless Steel,2622,Fridge Freezers
11384,lg 55uk6750pld 55 inch ultra hd 4k smart tv,30,4546,LG 55UK6750,2614,TVs
24391,sharp vestel r270slm solo microwave,293,39719,Sharp R270SLM Silver,2618,Microwaves
2834,blackberry pearl 3g 9105 sim free purple,3,698,Blackberry Pearl 9105,2612,Mobile Phones
40770,smeg fab32rnn 60cm 50s retro style fridge freezer black,1,44622,Smeg FAB32RNN Black,2622,Fridge Freezers
25325,de dietrich dkc7340a built in combination microwave black,7,39923,De Dietrich DKC7340A Black,2618,Microwaves
26165,cookology built in combi microwave oven grill bmog25lixh stainless steel 25 litre,53,40332,Amazon BMOG25LIXH Stainless Steel,2618,Microwaves
22380,om d e m10 mark iii with 14 42mm r 40 150mm r lens black,257,38987,Olympus E-M10 Mark III + 14-42mm EZ + 40-150mm R,2617,Digital Cameras
1336,apple iphone se,21,154,Apple iPhone SE 16GB,2612,Mobile Phones
36003,zanussi zfc14500wa 142 litre chest freezer white,294,43449,Zanussi ZFC14500WA White,2621,Freezers
44583,fridgemaster mul49102b 50cm under counter larder fridge black a,125,46272,Fridgemaster MUL49102B Black,2623,Fridges
22849,sony alpha a99 ii digital slt camera body,88,39078,Sony Alpha 99 II,2617,Digital Cameras
11749,lg 49lv340c 1080p full hd led commercial hotel tv,6,4627,LG 49LV340C,2614,TVs
42299,liebherr cn 4015 freestanding fridge freezer comfort,294,45187,Liebherr CN 4015 White,2622,Fridge Freezers
2297,oneplus 5 dual sim 128gb 8gb ram 4g lte midnight black,17,445,OnePlus 5 128GB Dual SIM,2612,Mobile Phones
25031,russell hobbs rhm2076b solo microwave black,7,39842,Russell Hobbs RHM2076B Black,2618,Microwaves
37954,samsung brb260000ww/eu 60cm integrated frost free fridge freezer with total no frost white,1,44105,Samsung BRB260000WW Integrated,2622,Fridge Freezers
42643,bosch kgn39aw32g 313litre fridge freezer frost free class a white,147,45368,Bosch KGN39AW32G White,2622,Fridge Freezers
31886,indesit bwd71453wuk 1400 rpm 7kg washing machine,292,42054,Indesit BWD71453,2620,Washing Machines
14952,intel xeon e3 1230 v3 quad core 4 core 3.30 ghz processor,73,6121,Intel Xeon E3-1230 v3 3.3GHz Tray,2615,CPUs
38394,liebherr integrated fridge freezer in white,31,44159,Liebherr ICUS 3324 Comfort Integrated,2622,Fridge Freezers
31228,indesit bwe91484xk 9kg 1400rpm freestanding washing machine black,15,41968,Indesit BWE91484XK,2620,Washing Machines
44237,gorenje obrb153r volkswagen camper freestanding fridge in burgundy,293,46215,Gorenje OBRB153R Red,2623,Fridges
16498,intel xeon processor e5 2407 v2 10m cache 2.40 ghz 2.4ghz,66,6674,Intel Xeon E5-2407 v2 2.4GHz Tray,2615,CPUs
43148,smeg fa8003aos fridge freezer,324,45860,Smeg FA8003AOS Anthracite,2622,Fridge Freezers
600,doro secure 580iup white black,24,39,Doro Secure 580,2612,Mobile Phones
15774,intel celeron g3900t dual core 2 core 2.60 ghz processor,79,6409,Intel Celeron G3900T 2.6GHz  Tray,2615,CPUs
30640,blomberg lrf285411w 8kg/5kg 1400 spin washer dryer white a rated,133,41903,Blomberg LRF285411,2620,Washing Machines
25228,sharp combination microwave r959slmaa silver,22,39895,Sharp R959SLMAA Silver,2618,Microwaves
46756,cda ff121 freestanding undercounter fridge,293,46992,CDA FF121 White,2623,Fridges
1494,doro 2414 stahl silber,2,192,Doro 2414,2612,Mobile Phones
14583,intel core i3 7100t 3.4 ghz 2 cores 4 threads 3 mb cache lga1151 socket box,51,5999,Intel Core i3-7100T 3.4GHz  Box,2615,CPUs
44998,ki82lvs30g siemens 177x54 bi fridge with 4 ice box sliding hinge,309,46355,Siemens KI82LVS30G Integrated,2623,Fridges
30909,1400rpm washing machine 7kg load class a white,123,41930,Hotpoint WMBF742P,2620,Washing Machines
41934,smeg fridges and freezers fab32rvn1 220 240 v,314,45009,Smeg FAB32RVN1 Green,2622,Fridge Freezers
16084,hewlett packard enterprise dl380e gen8 intel xeon e5 2450 2.10ghz/8 core/20mb/95w 2.1ghz 20mb l3 processor,64,6514,HP Intel Xeon E5-2450 2.1GHz Upgrade Tray,2615,CPUs
21367,praktica luxmedia z250 digital compact camera black 20 mp 5x optical zoom,3,38866,Praktica Luxmedia Z250,2617,Digital Cameras
38797,hoover hcf5172wk/hcf5172wk,98,44218,Hoover HCF 5172WK White,2622,Fridge Freezers
32560,hotpoint wmxtf742p 7kg 1400rpm freestanding washing machine white,15,42174,Hotpoint WMXTF742P,2620,Washing Machines
1334,apple iphone se 10.2 cm 4 128 gb single sim 4g gold,14,154,Apple iPhone SE 16GB,2612,Mobile Phones
25273,sharp r344slm 25l 900w digital microwave silver,125,39908,Sharp R344SLM Silver,2618,Microwaves
25032,russell hobbs rhm2076b 20l 800w freestanding digital microwave black,6,39842,Russell Hobbs RHM2076B Black,2618,Microwaves
208,sim free iphone 8 256gb mobile phone space grey,22,10,Apple iPhone 8 256GB,2612,Mobile Phones
38261,liebherr ctp2521 55cm fridge freezer,130,44145,Liebherr CTP 2521 White,2622,Fridge Freezers
21371,praktica luxmedia z250 digital compact camera,249,38866,Praktica Luxmedia Z250,2617,Digital Cameras
44697,miele k12020s 1 undercounter fridge white,293,46294,Miele K 12020 S-1 White White,2623,Fridges
2541,motorola moto c uk sim free smartphone black,3,560,Moto C,2612,Mobile Phones
34052,washing machine,347,42620,Miele WDD030 EcoPlus & Comfort,2620,Washing Machines
35431,siemens gs36nvx3pg tall freezer a energy rating 60cm wide black,130,43346,Siemens GS36NVX3PG Black,2621,Freezers
2707,maxcom comfort mm720 big button dual sim uk sim free 2g mobile phone black/silver with charging dock,17,638,Maxcom MM720,2612,Mobile Phones
32671,hotpoint rpd10457j ultima s washing machine in white 1400rpm 10kg stea,128,42198,Hotpoint RPD10457J,2620,Washing Machines
14268,xeone3 1220v5prozessor3 ghz box8 mb smartcache,90,5911,Intel Xeon E3-1220V5 3 GHz  Box,2615,CPUs
25175,igenix ig2095 solo digital microwave 5 power levels and defrost function 95 minute programmable timer 800 w 20 litre white,3,39882,Igenix IG2095 White,2618,Microwaves
3506,nokia lumia 530 uk sim free smartphone dark grey,3,1281,Nokia Lumia 530,2612,Mobile Phones
17045,hewlett packard enterprise dl380p gen8 intel xeon e5 2643 fio kit,66,7048,HP Intel Xeon E5-2643 3.3GHz Upgrade Tray,2615,CPUs
39846,fisher paykel rf522brpx6 79cm designer fridge freezer right hinge stainless steel,301,44406,Fisher & Paykel RF522BRPX6 Stainless Steel,2622,Fridge Freezers
3414,huawei y5 black white,65,1204,Huawei Y5,2612,Mobile Phones
39456,bosch kge36vw4a 60/40 freestanding fridge freezer white which best buy,130,44330,Bosch KGE36VW4A White,2622,Fridge Freezers
41206,liebherr cbnp4858 bio fresh fridge freezer,137,44751,Liebherr CBNP 4858 Premium BioFresh NoFrost White,2622,Fridge Freezers
43539,beko lcsm1545w 55cm tall larder fridge,293,46125,Beko LCSM1545W White,2623,Fridges
40600,fisher paykel e402brxfd4 active smart fridge freezer,130,44577,Fisher & Paykel E402BRXFD4 Stainless Steel,2622,Fridge Freezers
26668,bosch sms46mw00g freestanding dishwasher,130,40494,Bosch SMS46MW00G White,2619,Dishwashers
25762,daewoo digital microwave oven black 26l 900w,303,40071,Daewoo KOR9GBP Black,2618,Microwaves
2512,a7 pro chocolate black,42,546,Blackview A7 Pro Dual SIM,2612,Mobile Phones
27061,hotpoint free standing dishwasher in silver,31,40545,Hotpoint HFC3C26WSV Silver,2619,Dishwashers
42601,siemens ki77sad40 topline k hl gefrier kombination 1580mm,300,45347,Siemens KI77SAD40 Integrated,2622,Fridge Freezers
1495,doro 380440 2414 blau silver unlocked,3,192,Doro 2414,2612,Mobile Phones
31093,hotpoint wmaqf721g aquarius washing machine in graphite 1200rpm 7kg a,128,41952,Hotpoint WMAQF721G,2620,Washing Machines
22760,nikon df silber geh use,253,39055,Nikon Df,2617,Digital Cameras
36119,aeg age62526nw 185x60cm 250l no frost touch control freestanding freezer white,6,43478,AEG AGE62526NW White,2621,Freezers
26667,bosch sms46mw00g full size dishwasher white,7,40494,Bosch SMS46MW00G White,2619,Dishwashers
28933,bosch silenceplus xxl geschirrsp ler sbv46gx01e,298,41009,Bosch SBV46GX01E Integrated,2619,Dishwashers
38390,liebherr icus3324 178cm integrated 70/30 fridge freezer,301,44159,Liebherr ICUS 3324 Comfort Integrated,2622,Fridge Freezers
27162,hoover free standing slimline dishwasher in white,31,40558,Hoover HDP2D1049W White,2619,Dishwashers
45755,de dietrich drs1133j integrated larder fridge white gloss,43,46560,De Dietrich DRS1133J Integrated,2623,Fridges
24866,akai digital microwave 800w,72,39803,Akai A24003 Silver,2618,Microwaves
33728,siemens free standing washing machine wm12n190gb white,294,42489,Siemens WM12N190GB,2620,Washing Machines
46266,beko ul483apw undercounter fridge white,7,46738,Beko UL483APW White,2623,Fridges
27093,14 place dishwasher 11 progs class a white,123,40548,Whirlpool WFO3P33DLUK White,2619,Dishwashers
15542,intel xeon dp x5647 quad core 4 core 2.93 ghz processor,73,6319,Intel Xeon E5647 2.93GHz Socket 1366 3200MHz bus Tray,2615,CPUs
192,apple iphone 8 4.7 inch 256gb 12mp mobile phone silver,3,10,Apple iPhone 8 256GB,2612,Mobile Phones
1434,maxcom comfort mm818 sim free big button 2g uk clamshell mobile phone with dual sim capability black,17,176,Maxcom Comfort MM818 Dual SIM,2612,Mobile Phones
28984,miele g4203i clst semi integrated 13 place setting dishwasher with cutlery basket,160,41026,Miele G4203i CLST Stainless Steel,2619,Dishwashers
32295,hotpoint wmbf763p 7kg 1600rpm washing machine,292,42122,Hotpoint WMBF763P,2620,Washing Machines
28934,bosch sbv46gx01e geschirrsp ler vollintegrierbar 60cm,300,41009,Bosch SBV46GX01E Integrated,2619,Dishwashers
36105,amica fz0413 freezer freestanding table top compact 38 litre white,295,43474,Amica FZ041.3 White,2621,Freezers
39517,hotpoint leco7ff2w 60cm no frost fridge freezer,293,44341,Hotpoint LECO7FF2WH White,2622,Fridge Freezers
37220,bosch kgn34nw3ag/kgn34nw3ag,98,44038,Bosch KGN34NW3AG White,2622,Fridge Freezers
28927,bosch silence plus xxl geschirrsp ler sbv25ax00e,298,41007,Bosch SBV25AX00E Integrated,2619,Dishwashers
1679,lg g flex 2 titanium 16gb unlocked sim free,6,244,LG G Flex 2 16GB,2612,Mobile Phones
27518,smeg df6fabrd 60cm freestanding retro dishwasher red,301,40614,Smeg DF6FABRD Red,2619,Dishwashers
10544,samsung qe65q9fam 65 4k ultra hd smart tv wi fi black silver led tv,11,4449,Samsung QE65Q9F,2614,TVs
35434,siemens gs36nvx3pg 186x60cm 242l frost free freestanding upright freezer anti fingerprint black steel,6,43346,Siemens GS36NVX3PG Black,2621,Freezers
24152,bosch serie 4 bfl523mw0b built in solo microwave white,7,39688,Bosch BFL523MW0B White,2618,Microwaves
41867,zanussi k hl gefrierkombinationen statisch a zrb36104xa,300,44981,Zanussi ZRB36104XA Stainless Steel,2622,Fridge Freezers
2709,maxcom comfort mm720 big button dual sim uk sim free 2g mobile phone black/silver with charging dock,3,638,Maxcom MM720,2612,Mobile Phones
27096,whirlpool wfo3p33dl supreme clean 14 place dishwasher white,294,40548,Whirlpool WFO3P33DLUK White,2619,Dishwashers
11398,grade a1 samsung ue55mu9000 55 4k ultra hd hdr curved led smart tv wall mount only no stand provided,6,4550,Samsung UE55MU9000,2614,TVs
38391,liebherr icus3324/icus3324,98,44159,Liebherr ICUS 3324 Comfort Integrated,2622,Fridge Freezers
29050,smeg df6fabr2 14 place dishwasher a energy,163,41051,Smeg DF6FABR2 Red,2619,Dishwashers
46536,smeg s7192cs2p fridge freezer,324,46879,Smeg S7192CS2P Integrated,2623,Fridges
34200,bosch wat28420gb 8kg 1400rpm washing machine,294,42693,Bosch WAT28420GB,2620,Washing Machines
36448,beko fsg1545w 146cm tall static freezer in white a,125,43572,Beko FSG1545W White,2621,Freezers
26565,bosch smv68md00g serie 6 integrated dishwasher,130,40485,Bosch SMV68MD00G Integrated,2619,Dishwashers
17575,hewlett packard enterprise amd opteron 2427 2.2ghz 6mb l3 box processor,64,7594,HP AMD Opteron 2427 Six-Core 2.20GHz Socket F 2400MHz bus Upgrade Tray,2615,CPUs
46827,bosch kul15a65 unterbau k hlger t mit gefrierfach,300,47030,Bosch KUL15A65 White Integrated,2623,Fridges
41205,liebherr cbnp 4858 freestanding fridge freezer premium,294,44751,Liebherr CBNP 4858 Premium BioFresh NoFrost White,2622,Fridge Freezers
16694,hp amd opteron quad core 2376 he 2.3ghz fio kit 2.3ghz 8mb l2,14,6789,HP AMD Opteron 2376HE 2.3GHz Socket F 1000MHz bus Upgrade Tray,2615,CPUs
1689,apple mkqr2b/a iphone 6s 64gb 4.7 12mp sim free smartphone in rose gold,3,247,Apple iPhone 6S 64GB,2612,Mobile Phones
30635,blomberg lrf285411w white 1400 spin 8kg wash 5kg dry washer dryer,132,41903,Blomberg LRF285411,2620,Washing Machines
2053,honor 7c dual sim smartphone 15 21 cm 5 99,2,361,Huawei Honor 7C Dual SIM,2612,Mobile Phones
28589,bosch smi68ts06e serie 6 h c semi integrated dishwasher in st st 14 pl,128,40878,Bosch SMI68TS06E Stainless Steel,2619,Dishwashers
24090,bosch bfl554ms0b serie 6 built in microwave oven in black 900w 25 litr,128,39679,Bosch BFL554MS0B Stainless Steel,2618,Microwaves
33848,bosch wan28150gb a rated freestanding washing machine white,3,42530,Bosch WAN28150GB,2620,Washing Machines
27164,hoover hdp 21049w slim dishwasher white,22,40558,Hoover HDP2D1049W White,2619,Dishwashers
2833,blackberry pearl 3g 9105 white,48,698,Blackberry Pearl 9105,2612,Mobile Phones
27520,smeg df6fabrd 60cm 50s style freestanding retro dishwasher red,293,40614,Smeg DF6FABRD Red,2619,Dishwashers
25927,siemens backofen hm633gns1,300,40151,Siemens HM633GNS1 Stainless Steel,2618,Microwaves
23019,fujifilm x a5 mirrorless camera in dark silver with xc15 45mm lens,250,39123,Fujifilm X-A5,2617,Digital Cameras
16581,hp bl280c g6 e5620 fio kit 2.4ghz 12mb l3 processor,66,6722,HP Intel Xeon E5620 2.4GHz Upgrade Tray,2615,CPUs
13550,sony bravia kdl32wd755 led tv 80 cm 32 eec a dvb t2 dvb c dvb s full hd smart tv wlan pvr ready ci black,16,5619,Sony Bravia KDL-32WD755B,2614,TVs
10881,lg oled65e8pla 65 oled 4k ultra hd tv,129,4476,LG OLED65E8PLA,2614,TVs
16138,fujitsu intel xeon e5 2620 hexa core 6 core 2 ghz processor upgrade,73,6533,Fujitsu Intel Xeon E5-2620 2GHz Upgrade Tray,2615,CPUs
39036,samsung rs58k6387sl,134,44256,Samsung RS58K6387SL,2622,Fridge Freezers
33865,samsung free standing condenser tumble dryer in white,31,42538,Samsung DV80K6010CW,2620,Washing Machines
46826,bosch unterbau k hlautomat kul15a65 eek a,298,47030,Bosch KUL15A65 White Integrated,2623,Fridges
41362,indesit lr6s1w fridge freezer 196 75litres a direct cooling white,131,44803,Indesit LR6S1W White,2622,Fridge Freezers
16275,hp amd opteron six core 8425 he 2.1ghz fio kit 2.1ghz 6mb l3 processor,14,6580,HP AMD Opteron 8425 HE 2.1GHz Socket F 4800MHz bus Upgrade Tray,2615,CPUs
46084,bosch integrierbarer k hlschrank kil32ad40 eek a,298,46673,Bosch KIL32AD40 Integrated,2623,Fridges
26278,panasonic nn gd371sepg,3,40441,Panasonic NN-GD371S Stainless Steel,2618,Microwaves
45072,lec 55cm under counter refrigerator with freezer in silver r5511s 444410484,125,46370,Lec R5511S Silver Silver,2623,Fridges
44586,104litre larder fridge class a black,123,46272,Fridgemaster MUL49102B Black,2623,Fridges
16009,intel bx80646i54590 core i5 4590,3,6488,Intel Core i5-4590 3.3GHz  Box,2615,CPUs
27091,whirlpool wfo3p33dlu 14 place dishwasher white,289,40548,Whirlpool WFO3P33DLUK White,2619,Dishwashers
36107,amica fz0413 48cm wide freestanding upright compact table top freezer white,15,43474,Amica FZ041.3 White,2621,Freezers
24017,bosch cma583ms0b built in combination microwave stainless steel,7,39669,Bosch CMA583MS0B Stainless Steel,2618,Microwaves
